City,W&P Lookup,Zipcode,Airport
Berlin,'\PA\WP542111',15530,KCBE
East Conemaugh,'\PA\WP542021',15909,KJST
Girard,'\PA\WP542049',16417,KERI
Hooversville,'\PA\WP542111',15936,KJST
Smethport,'\PA\WP542083',16749,KBFD
Summerhill,'\PA\WP542021',15958,KJST
Blakely,'\PA\WP542069',18452,KAVP
Catawissa,'\PA\WP542037',17820,KSEG
Duncannon,'\PA\WP542099',17020,KCXY
Goldsboro,'\PA\WP542133',17319,KMDT
Hatfield,'\PA\WP542091',19440,KLOM
Kutztown,'\PA\WP542011',19530,KRDG
Lansdale,'\PA\WP542091',19446,KLOM
Lehighton,'\PA\WP542025',18235,KABE
Lewisberry,'\PA\WP542133',17339,KCXY
Middletown,'\PA\WP542043',17057,KMDT
Mifflinburg,'\PA\WP542119',17844,KSEG
Quakertown,'\PA\WP542017',18951,KUKT
Royalton,'\PA\WP542043',17057,KMDT
Saint Clair,\PA\WP542107,48079,KPHN
Schuylkill Haven,'\PA\WP542107',17972,KRDG
Watsontown,'\PA\WP542097',17777,KIPT
Weatherly,'\PA\WP542025',18255,KMPO
Amherst,'\OH\WP539093',44001,KLPR
Beach City,'\OH\WP539151',44608,KPHD
Bleach Tech,\OH\WP539035',44105,KBKL
Brewster,'\OH\WP539151',44613,KCAK
Columbiana,\OH\WP539029,44408,KUCP
Cuyahoga Falls,'\OH\WP539153',44221,KAKR
Galion,'\OH\WP539033',44833,KMFD
Grafton,'\OH\WP539093',44028,KCLE
Hubbard,'\OH\WP539155',44425,KYNG
Hudson,'\OH\WP539153',44236,KPOV
Huron,'\OH\WP539043',44839,KLPR
Lodi,'\OH\WP539103',44254,KBJJ
Lucas,'\OH\WP539139',44843,KMFD
Milan,\OH\WP539043,44846,KPCW
Monroeville,'\OH\WP539077',44847,KLPR
Newton Falls,'\OH\WP539155',44444,KPOV
Niles,'\OH\WP539155',44446,KYNG
Oberlin,'\OH\WP539093',44074,KLPR
Prospect,'\OH\WP539101',43342,KDLZ
Seville,'\OH\WP539103',44273,KBJJ
South Vienna,'\OH\WP539023',45369,KSGH
Wadsworth,'\OH\WP539103',44281,KAKR
Wellington,'\OH\WP539093',44090,KLPR
Bowling Green,'\OH\WP539173',43402,KTDZ
Bowling Green Waste Water,\OH\WP539173,43402,KTDZ
Bowling Green Water,'\OH\WP539173',43402,KTDZ
Bradner,'\OH\WP539173',43406,KTDZ
Custar,'\OH\WP539173',43511,KFDY
Edgerton,'\OH\WP539171',43517,KDFI 
Ellwood City,\PA\WP542073,16117,KBVI
Elmore,\OH\WP539123,43416,KTDZ
Genoa,'\OH\WP539123',43430,KTDZ
Grove City,'\PA\WP542085',16127,KUCP
Haskins,'\OH\WP539173',43525,KTOL
Holiday City,'\OH\WP539171',43543,KDFI
Montpelier,'\OH\WP539171',43543,KDFI
Napoleon,'\OH\WP539069',43545,KUSE
New Wilmington,'\PA\WP542073',16142,KUCP
Oak Harbor,'\OH\WP539123',43449,KTDZ
Painesville,'\OH\WP539085',44077,KCGF
Pemberville,'\OH\WP539173',43450,KTDZ
Pioneer,'\OH\WP539171',43554,KJYM
