Year of Load,Month of Load,Berlin,East Conemaugh,Girard,Hooversville,Smethport,Summerhill,Blakely,Catawissa,Duncannon,Goldsboro,Hatfield,Kutztown,Lansdale,Lehighton,Lewisberry,Middletown,Mifflinburg,Quakertown,Royalton,Saint Clair,Schuylkill Haven,Watsontown,Weatherly,Amherst,Beach City,Bleach Tech,Brewster,Columbiana,Cuyahoga Falls,Galion,Grafton,Hubbard,Hudson,Huron,Lodi,Lucas,Milan,Monroeville,Newton Falls,Niles,Oberlin,Prospect,Seville,South Vienna,Wadsworth,Wellington,Bowling Green,Bowling Green Waste Water,Bowling Green Water,Bradner,Custar,Edgerton,Ellwood City,Elmore,Genoa,Grove City,Haskins,Holiday City,Montpelier,Napoleon,New Wilmington,Oak Harbor,Painesville,Pemberville,Pioneer,Toledo,Wampum,Woodville,Zelienople,Arcadia,Bloomdale,Bryan,Carey,Clyde,Cygnet,Deshler,Greenwich,Ohio City,Plymouth,Republic,Shiloh,Sycamore,Wapakoneta,Wharton,Arcanum,Celina,Eldorado,Jackson Center,Lakeview,Mendon,Minster,New Bremen,Piqua,Tipp City,Versailles,Waynesfield,Yellow Springs,Year of Load,Month of Load,Member Pool,Total Energy,Chase Brass,Glouster,Jackson,New Knoxville,Orrville,St_ Marys,Woodsfield,Clinton,Coldwater,Hillsdale,Marshall,Union City,Cleveland,Georgetown,St_ Clairsville,DEMEC,Wyandotte,Bedford,Wheelabrator,Danville,Front Royal,Martinsville,Richlands,Columbus,Dover,Shelby,Westerville,Hamilton,Lebanon,Williamstown,Paducah,Princeton,Benham,Berlin-MD,Cannelton,Perkasie,Ephrata
2007,1,"2,362.56",551.04,"3,412.63",472.34,,335.8,,,,,,,,,,,,,,,,,,"9,267.70","1,467.40",,"4,755.62","7,541.58","38,974.58","10,641.76","3,182.75","5,605.87","15,788.69",2.74,"4,376.60",437.84,904.41,"5,233.96","4,479.75","28,364.67","10,132.05","1,003.01","7,973.24",434.75,"27,370.08","6,713.32","47,252.99",,288.59,665.58,267.36,"2,658.89","5,271.45","1,500.92","1,616.40","5,722.96",480.62,"1,503.20","6,630.33","15,487.91","1,939.43","2,525.84","22,740.71","1,779.92","3,377.03",,393.17,"1,167.99","2,810.78",543.65,453.94,"20,337.14","7,188.66","19,671.33",360.68,"2,138.75","1,732.81",639.54,"1,310.55",321.43,635.38,631.65,"17,792.60",304.11,"2,393.39","19,960.47",481.03,"2,013.11","1,112.02",594.45,"10,441.93","5,578.43","29,313.00","13,182.68","5,649.12",847.83,"3,183.42",2007,1,PJM,"72,003.78","6,838.48","1,004.95","15,971.04",972.53,"25,882.65","18,993.03","2,341.11","2,178.52","24,975.81","12,568.85","10,437.14","1,529.10","144,650.30",,"5,063.24","94,482.73",,"22,836.86",,"90,835.77","17,556.47","17,864.30","7,731.53",,"20,097.45","10,727.32",,"58,357.76","25,748.34","5,606.96","52,613.26","9,356.33",,,,"6,486.03","14,517.59"
2007,2,"2,391.57",536.71,"3,102.24",476.64,,323.14,,,,,,,,,,,,,,,,,,"8,995.41","1,386.41",,"4,479.65","7,352.44","37,073.82","10,289.54","3,049.69","5,297.98","14,640.00",2.45,"4,389.15",439.1,831.96,"4,911.92","4,344.31","26,958.88","9,839.65","1,012.98","6,764.79",445.51,"25,992.86","6,542.52","45,432.50",,298.02,678.46,211.69,"2,688.51","5,101.02","1,440.81","1,623.81","5,717.29",464.6,"1,452.46","6,199.78","14,552.74","1,967.62","2,516.04","21,719.42","1,584.50","3,105.15",,397.13,"1,117.94","2,987.05",534.57,446.86,"19,927.95","6,709.21","17,958.68",378.02,"2,108.95","1,751.57",660.92,"1,319.19",304.07,717.25,629.06,"17,163.02",276.66,"2,467.76","19,369.88",501.54,"1,955.82","1,137.52",667.95,"9,994.94","5,214.97","28,542.00","12,997.21","5,449.34",849.6,"3,131.07",2007,2,PJM,"69,143.14","6,803.16","1,059.92","15,774.13",933.72,"24,368.81","17,882.80","2,320.59","2,122.07","23,590.63","12,287.64","9,785.81","1,458.70","141,290.70",,"5,099.56","95,442.55",,"23,485.97",,"89,153.60","19,224.81","17,404.23","8,112.73",,"18,949.64","9,961.80",,"58,250.80","25,471.33","5,637.44","49,932.33","8,969.68",,,,"6,728.37","15,205.90"
2007,3,"2,185.97",513.64,"3,310.69",420.48,,310.95,,,,,,,,,,,,,,,,,,"8,676.72","1,299.30",,"4,682.94","7,362.70","36,740.56","10,013.17","2,983.76","5,075.43","14,432.24",2.52,"4,061.76",402.57,860.94,"5,147.80","4,201.83","26,476.76","10,151.07",860.18,"7,804.46",497.43,"26,223.43","6,461.69","46,958.74",,310.29,597.65,210,"2,616.70","4,896.16","1,392.71","1,485.46","5,529.32",424.03,"1,531.71","6,255.87","14,653.66","1,848.06","2,314.59","21,594.46","1,461.49","3,307.50",,355.74,"1,073.89","2,719.07",479.95,385.85,"20,083.32","6,384.45","19,258.81",306.53,"1,903.69","1,673.02",552.43,"1,134.54",292.97,546.5,565.72,"16,741.48",272.85,"2,027.27","18,643.31",387.08,"1,798.65",987.97,488.97,"10,751.94","5,307.15","25,263.00","12,326.90","5,590.90",764.98,"2,913.66",2007,3,PJM,"70,021.59","7,349.46","1,025.45","15,335.41",896.71,"25,167.61","18,098.12","2,148.83","2,163.99","25,125.17","12,398.11","9,899.89","1,355.01","140,352.80",,"4,476.49","91,409.65",,"20,190.14",,"78,394.39","15,332.70","15,166.74","5,649.80",,"19,436.60","9,411.05",,"55,566.78","25,093.18","5,182.65","46,691.37","8,531.49",,,,"5,878.48","13,535.76"
2007,4,"1,993.92",464.73,"2,906.85",378.73,,272.85,,,,,,,,,,,,,,,,,,"7,788.76","1,194.04",,"4,243.57","6,865.20","34,058.17","9,021.42","2,692.08","4,665.99","13,553.51",2.28,"3,554.24",356.09,719.42,"4,669.64","3,782.94","24,953.05","9,471.83",762.83,"6,356.14",438.08,"23,801.59","5,775.56","43,395.89",,247.88,522.48,146.52,"2,357.53","4,428.98","1,257.73","1,310.99","5,021.26",382.33,"1,391.31","5,855.81","13,820.88","1,742.45","2,083.75","19,979.38","1,285.59","3,006.58",,318,939.7,"2,458.71",419.43,342.47,"18,315.36","5,539.36","18,089.09",269.99,"1,652.71","1,555.25",484.71,994.47,258.52,477.79,511.08,"15,353.40",231.68,"1,795.79","17,135.59",347.41,"1,600.87",894.27,420.6,"10,273.97","4,919.02","25,281.00","11,383.75","5,137.91",685.26,"2,662.25",2007,4,PJM,"64,718.37","7,288.55",782.21,"13,698.36",827.66,"23,468.90","16,724.55","1,928.14","1,922.86","23,622.74","11,915.93","9,217.65","1,218.35","128,700.00",,"4,031.04","84,306.34",,"18,003.29",,"72,673.98","13,188.50","14,257.68","5,075.30",,"18,096.42","8,500.83",,"49,404.58","23,405.69","4,644.65","45,240.72","7,949.81",,,,"4,988.18","11,578.83"
2007,5,"1,804.97",430.93,"2,858.05",320.65,,258.22,,,,,,,,,,,,,,,,,,"8,370.09","1,187.61",,"4,464.25","6,809.52","37,678.56","9,289.26","2,717.32","5,029.67","14,854.83",2.48,"3,541.19",342.75,706.99,"5,383.77","3,952.83","27,035.07","10,011.15",730.74,"7,720.08",407.94,"25,220.49","6,020.09","45,153.46",,303.78,487.15,137.56,"2,432.50","4,642.82","1,318.15","1,348.82","4,985.58",389.05,"1,422.77","6,184.42","13,965.47","1,606.62","2,026.55","20,709.23","1,357.34","3,182.36",,306.2,981.58,"2,532.77",404.6,343.41,"19,656.63","5,686.89","19,622.45",242.14,"1,737.45","1,560.34",448.63,953.13,266.05,476.17,513.24,"16,434.16",276.13,"1,664.26","18,294.53",297.68,"1,664.56",892.87,303.29,"11,237.02","5,292.79","25,430.00","12,391.27","5,400.49",636.24,"2,799.92",2007,5,PJM,"69,823.76","7,562.80",819.07,"15,959.76",858.15,"24,638.71","17,896.56","2,088.71","2,070.47","25,426.39","12,543.54","10,301.82","1,242.37","133,656.60",,"4,223.32","91,578.76",,"18,940.55",,"80,525.94","13,023.21","15,813.04","4,417.03",,"19,227.18","8,829.72",,"59,601.86","26,287.66","4,862.00","55,167.55","9,372.44",,,,"4,717.94","11,143.65"
2007,6,"1,733.01",448.25,"2,975.05",324.37,"1,328.03",264.76,,,,,,,,,,,,,,,,,,"9,866.49","1,266.00",,"4,531.70","7,220.42","42,443.14","10,192.93","2,945.37","5,684.03","16,626.77",2.78,"3,717.21",354.1,917.7,"5,439.39","4,350.85","29,749.52","10,335.08",840.9,"8,138.24",388.61,"27,049.82","6,272.38","48,765.92",,353.92,566.95,130.58,"2,712.25","5,327.70","1,449.68","1,551.45","5,068.94",477.31,"1,373.90","6,420.50","15,296.42","1,643.79","2,237.04","22,442.17","1,446.74","3,404.85",,354.4,"1,194.35","2,884.25",465.5,385.86,"21,168.14","5,640.20","19,947.82",290.41,"1,913.57","1,633.41",523.75,"1,062.30",296.14,494.38,589.49,"17,012.21",282.49,"1,903.40","20,134.53",345.22,"1,768.26","1,023.04",352.38,"10,985.86","5,596.65","29,409.00","13,710.13","5,980.34",677.73,"3,186.61",2007,6,PJM,"71,983.09","7,254.89",922.37,"16,304.06",929.16,"25,583.99","18,727.37","2,261.25","2,312.38","26,894.49","13,719.24","11,314.24","1,494.04","146,485.40",,"4,641.13","103,284.72",,"20,029.23","2,978.69","92,526.29","14,433.28","17,821.05","4,519.96",,"20,677.54","10,254.46",,"68,050.37","28,560.13","4,491.41","62,559.68","10,582.92",,,,"5,482.52","12,373.83"
2007,7,"1,799.98",457.58,"2,930.03",330.49,"1,323.27",271.51,,,,,,,,,,,,,,,,,,"10,341.89","1,348.99",,"4,844.38","7,344.48","43,338.71","10,469.93","3,070.80","5,935.76","17,511.72",2.92,"3,689.59",367.21,"1,032.89","5,503.34","4,406.12","29,963.10","10,607.33",891.42,"8,653.50",425.08,"27,571.11","6,418.20","48,120.81",,383.37,590.26,187.7,"2,618.46","5,559.22","1,438.04","1,604.21","5,245.55",501.25,"1,309.71","6,067.68","15,676.42","1,735.21","2,324.76","23,014.80","1,491.71","3,227.82",,378.42,"1,275.52","3,020.04",471.32,393.83,"20,511.37","5,120.96","19,902.13",313.01,"1,890.00","1,537.03",550.44,"1,078.69",310.45,489.41,599.77,"16,748.28",314.67,"1,952.16","20,381.63",357.82,"1,798.65","1,064.97",374.29,"11,956.57","5,804.52","28,546.00","13,839.65","6,289.95",678.37,"3,323.51",2007,7,PJM,"72,166.39","7,379.32","1,037.26","17,508.56",951.03,"24,503.77","18,639.65","2,146.80","2,320.80","26,054.51","13,822.58","11,510.31","1,652.40","154,195.70",,"4,885.27","114,721.01",,"20,597.32","2,972.93","98,109.62","15,568.65","18,912.61","4,767.69",,"21,236.50","10,340.80",,"69,497.70","28,822.12","4,280.80","68,684.98","11,457.90",,,,"6,046.95","13,323.48"
2007,8,"1,903.72",486.63,"3,243.81",358.47,"1,432.36",296.25,,,,,,,,,,,,,,,,,,"11,770.39","1,509.26",,"5,161.57","8,190.83","49,256.67","12,069.98","3,346.45","6,693.12","19,562.25",3.2,"4,142.04",429.42,947.89,"5,415.56","5,049.30","33,064.57","11,560.91","1,035.85","8,082.62",565.46,"31,537.65","7,446.50","54,513.48",,332.95,666.69,180.96,"2,992.40","6,349.40","1,630.77","1,798.45","5,991.11",579.38,"1,532.70","7,282.64","17,397.75","1,999.28","2,642.09","24,534.01","1,864.81","3,709.61",,427.16,"1,426.32","3,382.96",541.54,459.88,"23,190.80","6,522.94","21,096.16",333.75,"2,069.04","1,870.26",627.2,"1,270.28",362.41,576.64,677.16,"19,341.60",288.96,"2,337.42","23,253.66",423.38,"2,088.40","1,246.84",419.95,"12,860.90","6,560.92","32,742.00","15,931.58","7,213.19",816.27,"4,037.98",2007,8,PJM,"81,905.39","7,158.20","1,207.08","19,772.81","1,093.30","28,777.52","21,203.64","2,692.85","2,476.03","29,446.57","15,270.20","12,670.33","1,623.71","167,091.10",,"5,726.70","121,073.55",,"24,041.76","3,088.00","117,227.91","16,864.13","22,387.56","5,415.82",,"23,538.70","11,501.16",,"83,253.68","33,598.34","5,893.61","81,332.25","13,773.89",,,,"6,285.43","13,945.67"
2007,9,"1,725.08",421.16,"2,720.74",309.64,"1,275.86",253.07,,,,,,,,,,,,,,,,,,"7,998.18","1,177.44",,"4,566.41","6,856.22","39,815.81","9,766.95","2,816.38","5,339.33","16,185.59",2.72,"3,457.11",352.88,803.89,"4,504.85","4,207.89","28,013.50","10,314.28",779.87,"8,076.58",437.01,"26,160.83","6,283.74","47,997.28",,336.11,403.51,121.27,"2,212.43","4,993.67","1,310.03","1,428.43","5,406.34",440.2,"1,260.46","6,022.83","14,411.92","1,888.80","2,147.88","21,369.56","1,629.32","3,156.24",,334.31,"1,096.75","2,635.21",439.26,375.14,"19,571.92","5,250.12","18,394.56",257.36,"1,783.00","1,602.69",470.26,"1,019.52",292.86,445.97,537.07,"16,257.41",237.8,"1,782.94","19,171.69",339.26,"1,662.50",950.22,327.05,"11,265.85","5,407.80","27,846.00","12,768.12","5,933.78",664.87,"3,067.28",2007,9,PJM,"69,086.38","7,406.06",884.2,"15,319.22",898.77,"24,321.77","18,151.08","2,105.28","2,079.39","25,630.77","13,180.59","10,411.93","1,264.30","142,158.55",,"4,485.34","101,970.30",,"19,069.09","2,644.30","88,938.63","14,034.09","16,690.04","4,466.22",,"19,924.29","9,806.93",,"65,361.83","27,621.74","5,034.07","58,952.62","10,264.49",,,,"5,121.53","12,046.88"
2007,10,"1,951.16",447.51,"2,915.88",337.85,"1,354.51",269.16,,,,,,,,,,,,,,,,,,"7,999.37","1,176.93",,"4,563.94","7,000.14","38,066.09","9,671.66","2,798.86","5,035.28","15,568.06",2.77,"3,632.34",349.11,735.01,"4,583.03","4,135.53","26,800.59","9,925.85",809.82,"7,629.66",404.08,"25,661.77","6,501.06","47,997.50",,303.51,512.62,250.82,"2,432.03","4,692.11","1,291.15","1,369.59","5,405.15",446.09,"1,264.81","6,144.22","14,376.29","1,838.87","2,178.55","21,390.05","1,554.18","3,287.52",,319.98,"1,030.06","2,510.40",434.21,377.08,"19,744.05","5,370.45","19,364.28",348.43,"1,812.85","1,625.71",485.72,995.08,302.99,491.65,527.85,"16,471.78",275.94,"1,732.32","19,015.71",376.09,"1,664.77",895.8,339.84,"11,269.37","5,476.76","26,008.00","11,975.55","5,808.57",678.76,"2,858.52",2007,10,PJM,"70,433.64","7,571.06",900.01,"15,240.47",895.4,"25,657.42","18,156.41","2,012.86","2,064.50","25,765.11","12,959.19","10,443.08","1,268.71","139,034.50",,"4,067.98","96,091.97",,"18,133.50","3,202.43","79,087.34","13,481.37","14,862.52","4,470.20",,"19,637.64","9,470.22",,"56,637.80","25,921.43","4,811.29","50,520.54","9,161.47",,,,"4,891.75","11,518.32"
